#Table1
specobjid,ra,dec,plate,mjd,fiberid,z,h_beta_flux
2930772508237916160,196.08887,17.318566,2603,54479,200,0.1901163,269.8766
2932007809635608576,199.35564,17.108689,2604,54484,598,0.1927217,113.8943
2928569631071299584,191.58713,18.356644,2601,54144,378,0.2641678,195.9526
2928623782018967552,193.08148,18.343356,2601,54144,575,0.2014321,93.04583
331086074187114496,195.89711,-0.82019358,294,51986,260,0.2078367,131.7802
346789018941286400,222.37704,-0.79621972,308,51662,43,0.2524521,174.6231
335546517463001088,204.20461,-0.34926536,298,51955,103,0.2960864,159.7934
337844771441633280,206.24771,-0.26653267,300,51943,272,0.2447907,993.4495
664329358059530240,227.7667,3.2580817,590,52057,176,0.1728526,657.3569
655391427836012544,211.03528,4.6895255,582,52045,428,0.2393308,150.5186
666636132917733376,230.41528,3.6247914,592,52025,376,0.126024,926.9399
655379333208107008,210.71724,4.9924014,582,52045,384,0.253616,30.66834
657675938187732992,216.21805,4.7843149,584,52049,547,0.2981969,62.52968
1544896626647132160,190.40521,44.748304,1372,53062,589,0.191827,240.5085
1521207369185388544,223.2818,38.055463,1351,52790,424,0.2617957,627.5483
1521119133377259520,224.8008,37.473397,1351,52790,103,0.2047822,125.6766
1183393686143133696,229.85668,44.132141,1051,52468,265,0.2382287,709.6618
1551547297588865024,208.89248,39.140907,1378,53061,208,0.2766464,339.8229
3137930120862394368,216.14581,21.702227,2787,54552,171,0.2767682,74.55131
3139117593437169664,217.14193,21.503972,2788,54553,395,0.2840404,506.8268
3133488643172231168,207.53565,23.529471,2783,54524,397,0.2706638,82.67503
338934937203795968,209.92974,-0.57345347,301,51942,142,0.1631027,779.7177
1518889873669384192,217.84802,39.417062,1349,52797,185,0.1619562,168.8464
658818330399893504,218.23932,5.2316018,585,52027,607,0.2001631,74.43661
2078445657781200896,230.37639,27.73892,1846,54173,125,0.2282974,588.8925
2277863801430763520,200.74125,36.383351,2023,53851,612,0.2950774,199.7093
2078418994624227328,231.08041,27.955782,1846,54173,28,0.2843701,118.1586
2070670449527777280,213.35474,34.257184,1839,53471,511,0.2769306,281.2191
2934107321552365568,203.37272,15.763897,2606,54154,44,0.2461739,117.0851
350162045787727872,228.55242,-0.053255431,311,51665,26,0.2278282,236.1087
882775110115682304,198.90742,60.75174,784,52327,253,0.2512348,135.408
1171066790667642880,198.28614,54.354315,1040,52722,476,0.2971902,218.6221
1172182795003389952,200.45029,54.13623,1041,52724,440,0.2917909,178.4646
1544868314222716928,189.67803,45.306863,1372,53062,486,0.2288463,323.9026
1545979920495175680,191.8823,45.022602,1373,53063,434,0.213071,124.0855
1513343387179182080,203.59711,43.725493,1344,52792,487,0.2250107,403.0176
1514472311112099840,207.22821,43.052517,1345,52814,498,0.2742291,491.357
1888158385845594112,227.7914,42.57626,1677,53148,88,0.2507105,138.4066
1879192972814215168,204.96447,50.183616,1669,53433,240,0.2349069,183.8473
2276721683324758016,192.05762,36.406564,2022,53827,553,0.2069422,72.75501
2427493326505666560,228.40449,20.19267,2156,54525,193,0.2705555,119.7763
2385913632736176128,209.1065,25.256598,2119,53792,479,0.1637161,2766.563
2414001756410243072,221.50357,22.55162,2144,53770,263,0.2997678,81.89317
3104252903615916032,211.03283,18.868998,2757,54509,534,0.2451501,498.8271
559621490216036352,205.80587,65.68624,497,51989,179,0.2404175,268.8527
559584381698598912,207.77929,65.524292,497,51989,44,0.2987612,130.8399
1441251157619009536,194.76806,50.814592,1280,52738,361,0.2362584,156.9879
1311728962157701120,227.88053,50.371933,1165,52703,202,0.220537,92.15675
1916445796304185344,209.50678,11.892182,1702,53144,597,0.2667643,173.2774
1993996281495709696,195.15092,13.784915,1771,53498,100,0.1427399,1315.658
